,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
72,Acne,skin rash,pus filled pimples,blackheads,,,
73,Acne,skin rash,pus filled pimples,blackheads,,,
74,Acne,skin rash,pus filled pimples,scurring,,,
75,Acne,skin rash,blackheads,scurring,,,
76,Acne,pus filled pimples,blackheads,scurring,,,
77,Acne,skin rash,pus filled pimples,blackheads,scurring,,
78,Acne,skin rash,pus filled pimples,blackheads,scurring,,
79,Acne,skin rash,pus filled pimples,blackheads,,,
80,Acne,skin rash,pus filled pimples,blackheads,scurring,,
81,Acne,skin rash,pus filled pimples,blackheads,scurring,,
82,Acne,skin rash,pus filled pimples,blackheads,scurring,,
83,Acne,skin rash,pus filled pimples,blackheads,scurring,,
84,Acne,skin rash,pus filled pimples,blackheads,scurring,,
85,Acne,skin rash,pus filled pimples,blackheads,scurring,,
86,Acne,skin rash,pus filled pimples,blackheads,scurring,,
87,Acne,skin rash,pus filled pimples,blackheads,scurring,,
88,Acne,skin rash,pus filled pimples,blackheads,scurring,,
89,Acne,skin rash,pus filled pimples,blackheads,scurring,,
90,Acne,skin rash,pus filled pimples,blackheads,scurring,,
91,Acne,skin rash,pus filled pimples,blackheads,scurring,,
92,Acne,skin rash,blackheads,scurring,,,
93,Acne,skin rash,pus filled pimples,scurring,,,
94,Acne,pus filled pimples,blackheads,scurring,,,
95,Acne,skin rash,blackheads,scurring,,,
96,Acne,skin rash,pus filled pimples,scurring,,,
97,Acne,skin rash,pus filled pimples,blackheads,,,
98,Acne,skin rash,pus filled pimples,blackheads,scurring,,
99,Acne,skin rash,pus filled pimples,blackheads,,,
100,Acne,skin rash,pus filled pimples,scurring,,,
101,Acne,skin rash,blackheads,scurring,,,
102,Acne,skin rash,pus filled pimples,blackheads,scurring,,
103,Acne,skin rash,pus filled pimples,blackheads,scurring,,
104,Acne,skin rash,pus filled pimples,blackheads,scurring,,
105,Acne,skin rash,pus filled pimples,blackheads,scurring,,
106,Acne,skin rash,pus filled pimples,blackheads,scurring,,
107,Acne,skin rash,pus filled pimples,blackheads,scurring,,
108,Acne,skin rash,pus filled pimples,blackheads,scurring,,
109,Acne,skin rash,blackheads,scurring,,,
110,Acne,pus filled pimples,blackheads,scurring,,,
111,Acne,skin rash,pus filled pimples,blackheads,scurring,,
112,Acne,skin rash,pus filled pimples,blackheads,,,
113,Acne,skin rash,pus filled pimples,blackheads,scurring,,
114,Acne,skin rash,pus filled pimples,blackheads,scurring,,
115,Acne,skin rash,pus filled pimples,blackheads,scurring,,
116,Acne,skin rash,pus filled pimples,blackheads,scurring,,
117,Acne,skin rash,pus filled pimples,blackheads,scurring,,
118,Acne,skin rash,pus filled pimples,blackheads,scurring,,
119,Acne,skin rash,pus filled pimples,blackheads,scurring,,
120,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
121,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
122,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
123,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
124,Aids,muscle wasting,patches in throat,high fever,,,
125,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
126,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
127,Aids,muscle wasting,patches in throat,extra marital contacts,,,
128,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
129,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
130,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
131,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
132,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
133,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
134,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
135,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
136,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
137,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
138,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
139,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
140,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
141,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
142,Aids,patches in throat,high fever,extra marital contacts,,,
143,Aids,muscle wasting,high fever,extra marital contacts,,,
144,Aids,muscle wasting,patches in throat,extra marital contacts,,,
145,Aids,muscle wasting,patches in throat,high fever,,,
146,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
147,Aids,patches in throat,high fever,extra marital contacts,,,
148,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
149,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
150,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
151,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
152,Aids,patches in throat,high fever,extra marital contacts,,,
153,Aids,muscle wasting,high fever,extra marital contacts,,,
154,Aids,muscle wasting,patches in throat,high fever,,,
155,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
156,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
157,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
158,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
159,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
160,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
161,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
162,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
163,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
164,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
165,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
166,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
167,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
168,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
169,Aids,patches in throat,high fever,extra marital contacts,,,
170,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
171,Aids,muscle wasting,high fever,extra marital contacts,,,
172,Aids,muscle wasting,high fever,extra marital contacts,,,
173,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
174,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
175,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
176,Aids,patches in throat,high fever,extra marital contacts,,,
177,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
178,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
179,Aids,muscle wasting,patches in throat,high fever,,,
180,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
181,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
182,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
183,Aids,muscle wasting,patches in throat,extra marital contacts,,,
184,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
185,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
186,Aids,patches in throat,high fever,extra marital contacts,,,
187,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
188,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
189,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
190,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
191,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
192,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
193,Aids,patches in throat,high fever,extra marital contacts,,,
194,Aids,muscle wasting,high fever,extra marital contacts,,,
195,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
196,Aids,muscle wasting,patches in throat,extra marital contacts,,,
197,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
198,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
199,Aids,muscle wasting,patches in throat,high fever,,,
200,Aids,muscle wasting,high fever,extra marital contacts,,,
201,Aids,muscle wasting,patches in throat,high fever,,,
202,Aids,patches in throat,high fever,extra marital contacts,,,
203,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
204,Aids,muscle wasting,patches in throat,high fever,,,
205,Aids,muscle wasting,patches in throat,extra marital contacts,,,
206,Aids,muscle wasting,high fever,extra marital contacts,,,
207,Aids,patches in throat,high fever,extra marital contacts,,,
208,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
209,Aids,muscle wasting,patches in throat,high fever,,,
210,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
211,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
212,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
213,Aids,muscle wasting,patches in throat,high fever,,,
214,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
215,Aids,patches in throat,high fever,extra marital contacts,,,
216,Aids,muscle wasting,high fever,extra marital contacts,,,
217,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
218,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
219,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
220,Aids,muscle wasting,high fever,extra marital contacts,,,
221,Aids,muscle wasting,patches in throat,high fever,,,
222,Aids,muscle wasting,patches in throat,extra marital contacts,,,
223,Aids,muscle wasting,high fever,extra marital contacts,,,
224,Aids,patches in throat,high fever,extra marital contacts,,,
225,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
226,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
227,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
228,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
229,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
230,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
231,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
232,Aids,patches in throat,high fever,extra marital contacts,,,
233,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
234,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
235,Aids,muscle wasting,patches in throat,high fever,,,
236,Aids,muscle wasting,patches in throat,high fever,,,
237,Aids,muscle wasting,high fever,extra marital contacts,,,
238,Aids,muscle wasting,high fever,extra marital contacts,,,
239,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
240,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
241,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
242,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
243,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
244,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
245,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
246,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
247,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
248,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
249,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
250,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
251,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
252,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
253,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
254,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
255,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
256,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
257,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
258,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
259,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
260,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
261,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
262,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
263,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
264,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
265,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
266,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
267,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
268,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
269,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
270,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
271,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
272,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
273,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
274,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
275,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
276,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
277,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
278,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
279,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
280,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
281,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
282,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
283,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
284,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
285,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
286,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
287,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
288,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
289,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
290,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
291,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
292,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
293,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
294,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
295,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
296,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
297,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
298,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
299,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
300,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
301,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
302,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
303,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
304,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
305,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
306,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
307,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
308,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
309,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
310,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
311,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
312,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
313,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
314,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
315,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
316,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
317,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
318,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
319,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
320,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
321,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
322,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
323,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
324,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
325,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
326,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
327,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
328,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
329,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
330,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
331,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
332,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
333,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
334,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
335,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
336,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
337,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
338,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
339,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
340,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
341,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
342,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
343,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
344,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
345,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
346,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
347,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
348,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
349,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
350,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
351,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
352,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
353,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
354,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
355,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
356,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
357,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
358,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
359,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
360,Allergy,continuous sneezing,chills,watering from eyes,,,
361,Allergy,continuous sneezing,shivering,watering from eyes,,,
362,Allergy,continuous sneezing,shivering,chills,,,
363,Allergy,shivering,chills,watering from eyes,,,
364,Allergy,continuous sneezing,shivering,chills,watering from eyes,,
365,Allergy,continuous sneezing,shivering,watering from eyes,,,
366,Allergy,shivering,chills,watering from eyes,,,
367,Allergy,continuous sneezing,shivering,chills,watering from eyes,,
368,Allergy,continuous sneezing,shivering,chills,watering from eyes,,
369,Allergy,continuous sneezing,shivering,chills,watering from eyes,,
370,Allergy,continuous sneezing,chills,watering from eyes,,,
371,Allergy,continuous sneezing,shivering,chills,,,
