,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
3850,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3809,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4383,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3768,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3112,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4547,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2579,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3030,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4711,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3481,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4793,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2907,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4752,Acne,skin rash,pus filled pimples,blackheads,scurring,,
379,Acne,skin rash,blackheads,scurring,,,
378,Acne,skin rash,pus filled pimples,scurring,,,
377,Acne,skin rash,pus filled pimples,blackheads,,,
376,Acne,skin rash,pus filled pimples,blackheads,scurring,,
375,Acne,skin rash,pus filled pimples,blackheads,,,
374,Acne,skin rash,pus filled pimples,scurring,,,
373,Acne,skin rash,blackheads,scurring,,,
2989,Acne,skin rash,pus filled pimples,blackheads,scurring,,
372,Acne,pus filled pimples,blackheads,scurring,,,
371,Acne,skin rash,pus filled pimples,blackheads,scurring,,
370,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4096,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2948,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3399,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2866,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2825,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4670,Acne,skin rash,pus filled pimples,blackheads,scurring,,
789,Acne,skin rash,blackheads,scurring,,,
788,Acne,skin rash,pus filled pimples,scurring,,,
787,Acne,skin rash,pus filled pimples,blackheads,,,
785,Acne,skin rash,pus filled pimples,blackheads,,,
784,Acne,skin rash,pus filled pimples,scurring,,,
783,Acne,skin rash,blackheads,scurring,,,
782,Acne,pus filled pimples,blackheads,scurring,,,
781,Acne,skin rash,pus filled pimples,blackheads,scurring,,
780,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1607,Acne,skin rash,pus filled pimples,blackheads,,,
3071,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3604,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4588,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2661,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2702,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3563,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2743,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2784,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4629,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3522,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2620,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1606,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2429,Acne,skin rash,blackheads,scurring,,,
1604,Acne,skin rash,pus filled pimples,scurring,,,
2012,Acne,pus filled pimples,blackheads,scurring,,,
2013,Acne,skin rash,blackheads,scurring,,,
2014,Acne,skin rash,pus filled pimples,scurring,,,
2015,Acne,skin rash,pus filled pimples,blackheads,,,
2016,Acne,skin rash,pus filled pimples,blackheads,scurring,,
2017,Acne,skin rash,pus filled pimples,blackheads,,,
2018,Acne,skin rash,pus filled pimples,scurring,,,
2019,Acne,skin rash,blackheads,scurring,,,
2011,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3932,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4219,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4260,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3235,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4916,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3891,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1603,Acne,skin rash,blackheads,scurring,,,
1602,Acne,pus filled pimples,blackheads,scurring,,,
1601,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1605,Acne,skin rash,pus filled pimples,blackheads,,,
2010,Acne,skin rash,pus filled pimples,blackheads,scurring,,
1600,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4178,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4301,Acne,skin rash,pus filled pimples,blackheads,scurring,,
4014,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3276,Acne,skin rash,pus filled pimples,blackheads,scurring,,
3973,Acne,skin rash,pus filled pimples,blackheads,scurring,,
476,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1706,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4229,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1705,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1704,Aids,muscle wasting,patches in throat,high fever,,,
2548,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2917,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1703,Aids,muscle wasting,patches in throat,extra marital contacts,,,
3368,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3901,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2876,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3983,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4721,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3450,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3122,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3286,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3655,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4106,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4270,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4762,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2507,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
880,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
881,Aids,patches in throat,high fever,extra marital contacts,,,
882,Aids,muscle wasting,high fever,extra marital contacts,,,
883,Aids,muscle wasting,patches in throat,extra marital contacts,,,
884,Aids,muscle wasting,patches in throat,high fever,,,
4147,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1707,Aids,patches in throat,high fever,extra marital contacts,,,
2999,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3409,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4188,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
470,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
477,Aids,patches in throat,high fever,extra marital contacts,,,
478,Aids,muscle wasting,high fever,extra marital contacts,,,
479,Aids,muscle wasting,patches in throat,high fever,,,
3491,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2835,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4680,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1700,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4803,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3040,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2794,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4639,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3532,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2753,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2712,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3245,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3573,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4598,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
471,Aids,patches in throat,high fever,extra marital contacts,,,
3081,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
472,Aids,muscle wasting,high fever,extra marital contacts,,,
1702,Aids,muscle wasting,high fever,extra marital contacts,,,
4065,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4557,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
475,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1701,Aids,patches in throat,high fever,extra marital contacts,,,
885,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3614,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
474,Aids,muscle wasting,patches in throat,high fever,,,
3942,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2630,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2671,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
473,Aids,muscle wasting,patches in throat,extra marital contacts,,,
2589,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4516,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
887,Aids,patches in throat,high fever,extra marital contacts,,,
3778,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2110,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4393,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3327,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4885,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
886,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2111,Aids,patches in throat,high fever,extra marital contacts,,,
2112,Aids,muscle wasting,high fever,extra marital contacts,,,
3819,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2113,Aids,muscle wasting,patches in throat,extra marital contacts,,,
4352,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3860,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1299,Aids,muscle wasting,patches in throat,high fever,,,
1298,Aids,muscle wasting,high fever,extra marital contacts,,,
69,Aids,muscle wasting,patches in throat,high fever,,,
1297,Aids,patches in throat,high fever,extra marital contacts,,,
1295,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1294,Aids,muscle wasting,patches in throat,high fever,,,
1293,Aids,muscle wasting,patches in throat,extra marital contacts,,,
1292,Aids,muscle wasting,high fever,extra marital contacts,,,
1291,Aids,patches in throat,high fever,extra marital contacts,,,
1290,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2114,Aids,muscle wasting,patches in throat,high fever,,,
3204,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2115,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4311,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2119,Aids,muscle wasting,patches in throat,high fever,,,
2116,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2117,Aids,patches in throat,high fever,extra marital contacts,,,
2118,Aids,muscle wasting,high fever,extra marital contacts,,,
1296,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3737,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2958,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
68,Aids,muscle wasting,high fever,extra marital contacts,,,
64,Aids,muscle wasting,patches in throat,high fever,,,
63,Aids,muscle wasting,patches in throat,extra marital contacts,,,
62,Aids,muscle wasting,high fever,extra marital contacts,,,
61,Aids,patches in throat,high fever,extra marital contacts,,,
60,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4024,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
65,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4434,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
3696,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
66,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2466,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
67,Aids,patches in throat,high fever,extra marital contacts,,,
4475,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
4844,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
1709,Aids,muscle wasting,patches in throat,high fever,,,
889,Aids,muscle wasting,patches in throat,high fever,,,
1708,Aids,muscle wasting,high fever,extra marital contacts,,,
888,Aids,muscle wasting,high fever,extra marital contacts,,,
3163,Aids,muscle wasting,patches in throat,high fever,extra marital contacts,,
2853,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3837,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1478,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4370,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4206,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1479,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4247,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4780,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3509,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3878,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1880,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1476,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
1881,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1882,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
1477,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
2525,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1887,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
4698,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3673,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1888,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1889,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1885,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
4001,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4329,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2935,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4739,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1886,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
2484,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1884,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
3468,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2894,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2812,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4493,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1883,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
4452,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3714,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4288,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4042,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4657,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3919,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1470,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3591,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3960,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2648,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2566,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3796,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4124,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2607,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4575,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4534,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4411,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1069,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1068,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1067,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
1066,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
1065,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
1064,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
1063,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
1062,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
1061,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
1060,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3632,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3755,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2299,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2298,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2689,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4616,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2291,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2292,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
1475,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
2293,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
1474,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
1473,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
2294,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
2771,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2295,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
1472,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
3550,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2290,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2730,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2297,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
1471,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
650,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
652,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
653,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
654,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
655,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
656,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
657,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
658,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
659,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2296,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
651,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4165,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
247,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload
241,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
240,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
248,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3427,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
249,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3058,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3386,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4083,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3345,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3140,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3222,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3304,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
4903,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3099,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
3017,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
242,Alcoholic,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
243,Alcoholic,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
4821,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
244,Alcoholic,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload
3263,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
246,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload
3181,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
245,Alcoholic,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload
4862,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
2976,Alcoholic,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption
832,Allergy,continuous sneezing,chills,watering from eyes,,,
